User,"User email",Store,Amount,"Exit Click Id","Event Time",Status
"Oda Stark",brielle.predovic@example.com,0.5,Berge-Swaniawski,639,"2023-02-07 05:42:48",1
"Randall Kreiger",lavon.kris@example.org,1,"Kuhn Group",683,"2023-02-07 05:42:48",3
"Elisabeth Gleason",lionel76@example.org,1,Walker-Collins,341,"2023-02-07 05:42:48",4
"Isaiah Torphy",price.richard@example.org,3.5,"Bogan Inc",35,"2023-02-07 05:42:48",1
"Lottie Zulauf",ocartwright@example.net,3,Carroll-Goldner,173,"2023-02-07 05:42:48",1
"Oda Stark",brielle.predovic@example.com,3.5,Gislason-Erdman,412,"2023-02-07 05:42:48",3
"Elisabeth Gleason",lionel76@example.org,3.5,"O'Reilly, Crona and Runolfsson",573,"2023-02-07 05:42:48",1
"Cortney Bode",erik.gulgowski@example.org,2,"Brekke, Kuvalis and Beatty",662,"2023-02-07 05:42:48",1
"Parker Altenwerth",barrows.casimir@example.org,1,Batz-Cronin,998,"2023-02-07 05:42:48",1
"Izaiah Sawayn",vandervort.josianne@example.org,3.5,"Beier, Sporer and Larson",857,"2023-02-07 05:42:48",2
"Elisabeth Gleason",lionel76@example.org,1,"Hegmann, O'Keefe and McDermott",204,"2023-02-07 05:42:48",3
"Charles Daniel",ernestina.corkery@example.com,4,Walker-Collins,681,"2023-02-07 05:42:48",3
"Data Operator",data@trs.com,2,Cormier-Brakus,900,"2023-02-07 05:42:48",4
"Lavinia Aufderhar",rice.jeffrey@example.net,0.5,Walker-Collins,523,"2023-02-07 05:42:48",2
"Santina Grimes",graham.carrie@example.net,3,"Rath, Glover and Mohr",50,"2023-02-07 05:42:48",2
"Parker Altenwerth",barrows.casimir@example.org,0.5,Cole-Koch,987,"2023-02-07 05:42:48",4
"Jaquelin Schimmel",predovic.delta@example.net,3.5,"Turner Inc",629,"2023-02-07 05:42:48",2
"Izaiah Sawayn",vandervort.josianne@example.org,3.5,"Lindgren, Fritsch and Schiller",787,"2023-02-07 05:42:48",1
"Cortney Bode",erik.gulgowski@example.org,5,Klocko-Mohr,340,"2023-02-07 05:42:48",3
"Reinhold Wiza",cordie.hagenes@example.org,2,"Hirthe, Kshlerin and Buckridge",360,"2023-02-07 05:42:48",2
"Elisabeth Gleason",lionel76@example.org,1.5,"Baumbach, Will and Reynolds",134,"2023-02-07 05:42:48",3
"Gillian Crist",sweber@example.net,3,Lindgren-Price,507,"2023-02-07 05:42:48",4
"London Murphy",xfay@example.com,5,"Kuhn Group",481,"2023-02-07 05:42:48",4
"Ayana Harvey",kling.colt@example.com,1,"Rempel, Nolan and Walker",436,"2023-02-07 05:42:48",4
"Destiney Haag",ustoltenberg@example.org,3.5,"Schiller PLC",774,"2023-02-07 05:42:48",3
"Elisabeth Gleason",lionel76@example.org,2,"Dooley Inc",236,"2023-02-07 05:42:48",4
"Merl Kiehn",jmayert@example.net,0.5,Heathcote-Bogisich,711,"2023-02-07 05:42:48",3
"Randall Kreiger",lavon.kris@example.org,3.5,Senger-Donnelly,803,"2023-02-07 05:42:48",4
"Reinhold Wiza",cordie.hagenes@example.org,1,Batz-Cronin,630,"2023-02-07 05:42:48",2
"Elisabeth Gleason",lionel76@example.org,2.5,Adams-Volkman,438,"2023-02-07 05:42:48",1
"Mylene Larson",anderson.lindsay@example.com,2.5,Adams-Volkman,528,"2023-02-07 05:42:48",3
"Charles Daniel",ernestina.corkery@example.com,1,Heathcote-Bogisich,758,"2023-02-07 05:42:48",4
"Lilliana Armstrong",bell.ledner@example.com,2,"Bogan Inc",492,"2023-02-07 05:42:48",4
"Isaiah Torphy",price.richard@example.org,0.5,"Jerde, Dietrich and Hane",408,"2023-02-07 05:42:48",2
"Jenifer Volkman",janet32@example.com,4,"Weber LLC",342,"2023-02-07 05:42:48",3
"Lavinia Aufderhar",rice.jeffrey@example.net,4.5,"Kuhn Group",905,"2023-02-07 05:42:48",4
"Randall Kreiger",lavon.kris@example.org,3.5,"Kuhn Group",110,"2023-02-07 05:42:48",4
"Mervin Klocko",dframi@example.net,4,"Bechtelar Group",336,"2023-02-07 05:42:48",1
"London Murphy",xfay@example.com,2,Berge-Swaniawski,834,"2023-02-07 05:42:48",1
"Jenifer Volkman",janet32@example.com,4.5,"Rath, Glover and Mohr",742,"2023-02-07 05:42:48",3
"Demond Becker",eleannon@example.net,4.5,Batz-Cronin,78,"2023-02-07 05:42:48",4
"Merl Kiehn",jmayert@example.net,5,"Schiller PLC",470,"2023-02-07 05:42:48",1
"Amalia Rice",annamae.rau@example.org,1,"McClure and Sons",595,"2023-02-07 05:42:48",2
"Amalia Rice",annamae.rau@example.org,1.5,"Hirthe, Kshlerin and Buckridge",879,"2023-02-07 05:42:48",2
"Shaina Beatty",ozella92@example.net,5,"Hirthe, Kshlerin and Buckridge",536,"2023-02-07 05:42:48",3
"Peggie Weimann",tromp.brandi@example.org,3,"Bechtelar Group",37,"2023-02-07 05:42:48",3
"Elisabeth Gleason",lionel76@example.org,1,"Barrows PLC",179,"2023-02-07 05:42:48",2
"Timmy Legros",willms.reece@example.net,2.5,"Weber LLC",991,"2023-02-07 05:42:48",2
"Isaiah Torphy",price.richard@example.org,2.5,"O'Reilly, Crona and Runolfsson",723,"2023-02-07 05:42:48",1
"Ericka Wyman",fsporer@example.net,5,"Hegmann, O'Keefe and McDermott",891,"2023-02-07 05:42:48",4
"Lavinia Aufderhar",rice.jeffrey@example.net,4,"Rath, Glover and Mohr",541,"2023-02-07 05:42:48",1
"Mariela Wunsch",rory.dare@example.net,4.5,"Welch, Streich and Hahn",557,"2023-02-07 05:42:48",1
"Randall Kreiger",lavon.kris@example.org,5,"Barrows PLC",766,"2023-02-07 05:42:48",1
"Charles Daniel",ernestina.corkery@example.com,4.5,Batz-Cronin,970,"2023-02-07 05:42:48",3
"Maudie Kling",stroman.rosalind@example.com,4.5,Senger-Donnelly,854,"2023-02-07 05:42:48",3
"Domenic Gusikowski",mccullough.abbie@example.com,1.5,"Hegmann, O'Keefe and McDermott",15,"2023-02-07 05:42:48",1
"Lottie Zulauf",ocartwright@example.net,0.5,"Rempel, Nolan and Walker",440,"2023-02-07 05:42:48",1
"Merl Kiehn",jmayert@example.net,2.5,Tromp-Keebler,483,"2023-02-07 05:42:48",3
"Merl Kiehn",jmayert@example.net,3.5,"Baumbach, Will and Reynolds",96,"2023-02-07 05:42:48",3
"Peggie Weimann",tromp.brandi@example.org,3.5,"Bogan Inc",80,"2023-02-07 05:42:48",3
"Jaquelin Schimmel",predovic.delta@example.net,0.5,"Weber LLC",421,"2023-02-07 05:42:48",4
"Maudie Kling",stroman.rosalind@example.com,1.5,"Cole Inc",744,"2023-02-07 05:42:48",1
"Santina Grimes",graham.carrie@example.net,2,"Zieme PLC",457,"2023-02-07 05:42:48",1
"Jaquelin Schimmel",predovic.delta@example.net,4.5,"Kuhn Group",219,"2023-02-07 05:42:48",3
"London Murphy",xfay@example.com,5,"Rempel, Nolan and Walker",497,"2023-02-07 05:42:48",1
"Destiney Haag",ustoltenberg@example.org,1,"Cole Inc",693,"2023-02-07 05:42:48",3
"Darryl Wuckert",jessie.bailey@example.org,3,"Schiller PLC",60,"2023-02-07 05:42:48",2
"Ayana Harvey",kling.colt@example.com,1,"Welch, Streich and Hahn",300,"2023-02-07 05:42:48",1
"Finance Manager",finance@trs.com,3,"Hirthe, Kshlerin and Buckridge",887,"2023-02-07 05:42:48",1
"Peggie Weimann",tromp.brandi@example.org,2,Berge-Swaniawski,474,"2023-02-07 05:42:48",3
"Citlalli Johns",adelia96@example.org,2,Tromp-Keebler,454,"2023-02-07 05:42:48",2
"Peggie Weimann",tromp.brandi@example.org,2,"Zieme PLC",942,"2023-02-07 05:42:48",4
"Isaiah Torphy",price.richard@example.org,1,Walker-Collins,211,"2023-02-07 05:42:48",3
"Finance Manager",finance@trs.com,1,"Schiller PLC",322,"2023-02-07 05:42:48",1
"Finance Manager",finance@trs.com,1,"Hirthe, Kshlerin and Buckridge",73,"2023-02-07 05:42:48",3
"Citlalli Johns",adelia96@example.org,2,"Bechtelar Group",89,"2023-02-07 05:42:48",2
"Jaquelin Schimmel",predovic.delta@example.net,2,Batz-Cronin,725,"2023-02-07 05:42:48",4
"Charles Daniel",ernestina.corkery@example.com,1,"Lindgren, Fritsch and Schiller",256,"2023-02-07 05:42:48",4
"Parker Altenwerth",barrows.casimir@example.org,5,"Weber LLC",770,"2023-02-07 05:42:48",4
"Loma Spencer",eldora.quitzon@example.org,1.5,"Bode, Cummerata and Keeling",676,"2023-02-07 05:42:48",1
"Evalyn Runolfsson",kwhite@example.org,4.5,"Kuhn Group",90,"2023-02-07 05:42:48",4
"Izaiah Sawayn",vandervort.josianne@example.org,4.5,"Beier, Sporer and Larson",308,"2023-02-07 05:42:48",1
"Lilliana Armstrong",bell.ledner@example.com,3,"Brekke, Kuvalis and Beatty",643,"2023-02-07 05:42:48",1
"Parker Altenwerth",barrows.casimir@example.org,3,"Veum, Jacobi and Abshire",737,"2023-02-07 05:42:48",2
"Loma Spencer",eldora.quitzon@example.org,2.5,Lindgren-Price,668,"2023-02-07 05:42:48",2
"Haley Waters",carmen63@example.org,2.5,Walker-Collins,359,"2023-02-07 05:42:48",4
"Lea Kuphal",kub.arvel@example.com,2,"Veum, Jacobi and Abshire",135,"2023-02-07 05:42:48",2
"Lea Kuphal",kub.arvel@example.com,2,"Schiller PLC",955,"2023-02-07 05:42:48",4
"Peggie Weimann",tromp.brandi@example.org,3.5,"Auer, Fadel and Legros",464,"2023-02-07 05:42:48",3
"Cortney Bode",erik.gulgowski@example.org,4,"Langosh, Ruecker and Schuppe",380,"2023-02-07 05:42:48",3
"Santina Grimes",graham.carrie@example.net,3,"Kuhn Group",695,"2023-02-07 05:42:48",3
"Peggie Weimann",tromp.brandi@example.org,0.5,"Brekke, Kuvalis and Beatty",373,"2023-02-07 05:42:48",4
"Evalyn Runolfsson",kwhite@example.org,1,"Barrows PLC",94,"2023-02-07 05:42:48",4
"Amalia Rice",annamae.rau@example.org,3,Carroll-Goldner,452,"2023-02-07 05:42:48",1
"Lea Kuphal",kub.arvel@example.com,4.5,"O'Reilly, Crona and Runolfsson",296,"2023-02-07 05:42:48",2
"Reinhold Wiza",cordie.hagenes@example.org,4,"Zieme PLC",74,"2023-02-07 05:42:48",2
"Lottie Zulauf",ocartwright@example.net,1,Heathcote-Bogisich,212,"2023-02-07 05:42:48",1
"Lottie Zulauf",ocartwright@example.net,3,Heathcote-Bogisich,491,"2023-02-07 05:42:48",3
"Citlalli Johns",adelia96@example.org,1.5,"Welch, Streich and Hahn",652,"2023-02-07 05:42:48",2
"Destiney Haag",ustoltenberg@example.org,3.5,Cole-Koch,93,"2023-02-07 05:42:48",3
"Sandra Farrell",jrutherford@example.org,3.5,"Lindgren, Fritsch and Schiller",778,"2023-02-07 05:42:48",3
"Gillian Crist",sweber@example.net,1,"Jerde, Dietrich and Hane",11,"2023-02-07 05:42:48",2
"Darryl Wuckert",jessie.bailey@example.org,0.5,"Jerde, Dietrich and Hane",691,"2023-02-07 05:42:48",2
"London Murphy",xfay@example.com,5,"Kuhn Group",525,"2023-02-07 05:42:48",1
"Randall Kreiger",lavon.kris@example.org,5,"Bogan Inc",253,"2023-02-07 05:42:48",1
"Ola Hackett",jlittel@example.net,1.5,Gislason-Erdman,827,"2023-02-07 05:42:48",1
"Parker Altenwerth",barrows.casimir@example.org,1,"Hirthe, Kshlerin and Buckridge",516,"2023-02-07 05:42:48",1
"Charles Daniel",ernestina.corkery@example.com,4,"Bogan Inc",990,"2023-02-07 05:42:48",1
"Mac Bahringer",krajcik.christina@example.org,3.5,"Rempel, Nolan and Walker",98,"2023-02-07 05:42:48",3
"Mervin Klocko",dframi@example.net,5,"Beier, Sporer and Larson",1,"2023-02-07 05:42:48",3
"Domenic Gusikowski",mccullough.abbie@example.com,3,Cole-Koch,866,"2023-02-07 05:42:48",3
"Mac Bahringer",krajcik.christina@example.org,1.5,"Kerluke Inc",433,"2023-02-07 05:42:48",1
"Benedict Stark",madaline28@example.org,4.5,"Zieme PLC",294,"2023-02-07 05:42:48",3
"London Murphy",xfay@example.com,1.5,"Jakubowski, Lang and Rosenbaum",547,"2023-02-07 05:42:48",4
"Trystan Abernathy",mafalda70@example.org,1.5,"Turner Inc",419,"2023-02-07 05:42:48",3
"Amalia Rice",annamae.rau@example.org,2.5,Cormier-Brakus,55,"2023-02-07 05:42:48",4
"Jaquelin Schimmel",predovic.delta@example.net,1.5,Reilly-Auer,934,"2023-02-07 05:42:48",3
"Izaiah Sawayn",vandervort.josianne@example.org,4.5,Walker-Collins,893,"2023-02-07 05:42:48",1
"Citlalli Johns",adelia96@example.org,3.5,Gislason-Erdman,118,"2023-02-07 05:42:48",3
"Lea Kuphal",kub.arvel@example.com,1,Cole-Koch,72,"2023-02-07 05:42:48",1
"Mariela Wunsch",rory.dare@example.net,4,"Abernathy Inc",655,"2023-02-07 05:42:48",1
"Parker Altenwerth",barrows.casimir@example.org,1,"O'Reilly, Crona and Runolfsson",799,"2023-02-07 05:42:48",1
"Peggie Weimann",tromp.brandi@example.org,0.5,Stehr-Conroy,379,"2023-02-07 05:42:48",4
"Nolan Metz",vonrueden.judson@example.com,3.5,"Kuhn Group",555,"2023-02-07 05:42:48",4
"Jana Hettinger",johnston.willis@example.net,4.5,"Zieme PLC",347,"2023-02-07 05:42:48",1
"Parker Altenwerth",barrows.casimir@example.org,0.5,"Schiller PLC",686,"2023-02-07 05:42:48",2
"Demond Becker",eleannon@example.net,1.5,Walker-Collins,819,"2023-02-07 05:42:48",4
"Charles Daniel",ernestina.corkery@example.com,2,"Kuhn Group",402,"2023-02-07 05:42:48",1
"Ola Hackett",jlittel@example.net,2,Heathcote-Bogisich,707,"2023-02-07 05:42:48",3
"Shaina Beatty",ozella92@example.net,3,"Batz LLC",178,"2023-02-07 05:42:48",1
"Cortney Bode",erik.gulgowski@example.org,4.5,Walker-Collins,543,"2023-02-07 05:42:48",3
"Lavinia Aufderhar",rice.jeffrey@example.net,5,"Lindgren, Fritsch and Schiller",401,"2023-02-07 05:42:48",2
"Destiney Haag",ustoltenberg@example.org,2.5,"Zieme PLC",806,"2023-02-07 05:42:48",1
"Gillian Crist",sweber@example.net,2,"Barrows PLC",850,"2023-02-07 05:42:48",1
"Jenifer Volkman",janet32@example.com,4.5,"Jerde, Dietrich and Hane",761,"2023-02-07 05:42:48",2
"Elisabeth Gleason",lionel76@example.org,2,"Kuhn Group",851,"2023-02-07 05:42:48",1
"Lea Kuphal",kub.arvel@example.com,4,"Baumbach, Will and Reynolds",646,"2023-02-07 05:42:48",4
"Jedediah Ankunding",shayne.zieme@example.net,5,"Lehner PLC",44,"2023-02-07 05:42:48",4
"Mac Bahringer",krajcik.christina@example.org,2,"Batz LLC",355,"2023-02-07 05:42:48",4
"Parker Altenwerth",barrows.casimir@example.org,1.5,Reilly-Auer,297,"2023-02-07 05:42:48",1
"Lavinia Aufderhar",rice.jeffrey@example.net,0.5,"Turner Inc",129,"2023-02-07 05:42:48",3
"Super Admin",admin@trs.com,4.5,"Bode, Cummerata and Keeling",885,"2023-02-07 05:42:48",4
"Ericka Wyman",fsporer@example.net,1.5,"Willms PLC",699,"2023-02-07 05:42:48",4
"Jenifer Volkman",janet32@example.com,1.5,Heathcote-Bogisich,262,"2023-02-07 05:42:48",1
"Benedict Stark",madaline28@example.org,4.5,"McClure and Sons",316,"2023-02-07 05:42:48",2
"Ayana Harvey",kling.colt@example.com,2.5,Walker-Collins,393,"2023-02-07 05:42:48",1
"Santina Grimes",graham.carrie@example.net,4,Lindgren-Price,873,"2023-02-07 05:42:48",2
"Ola Hackett",jlittel@example.net,4.5,"Veum, Jacobi and Abshire",936,"2023-02-07 05:42:48",1
"London Murphy",xfay@example.com,4.5,Stehr-Conroy,27,"2023-02-07 05:42:48",4
"Lottie Zulauf",ocartwright@example.net,3,"Bogan Inc",425,"2023-02-07 05:42:48",1
"Jaquelin Schimmel",predovic.delta@example.net,2.5,"Kuhn Group",960,"2023-02-07 05:42:48",3
"Super Admin",admin@trs.com,3,"Hegmann, O'Keefe and McDermott",824,"2023-02-07 05:42:48",4
"Ayana Harvey",kling.colt@example.com,4.5,"Beier, Sporer and Larson",919,"2023-02-07 05:42:48",2
"Maynard Klein",anabelle46@example.org,2,"Dooley Group",92,"2023-02-07 05:42:48",3
"Darryl Wuckert",jessie.bailey@example.org,0.5,Tromp-Keebler,579,"2023-02-07 05:42:48",1
"Lottie Zulauf",ocartwright@example.net,3,Stehr-Conroy,68,"2023-02-07 05:42:48",2
"Cortney Bode",erik.gulgowski@example.org,2,"Dooley Group",102,"2023-02-07 05:42:48",4
"Sandra Farrell",jrutherford@example.org,3,Gislason-Erdman,631,"2023-02-07 05:42:48",2
"Mariela Wunsch",rory.dare@example.net,2.5,"Jerde, Dietrich and Hane",358,"2023-02-07 05:42:48",1
"Isaiah Torphy",price.richard@example.org,2,"Dooley Group",548,"2023-02-07 05:42:48",3
"Lottie Zulauf",ocartwright@example.net,1,"Langosh, Ruecker and Schuppe",381,"2023-02-07 05:42:48",1
"Mac Bahringer",krajcik.christina@example.org,4.5,"Batz LLC",918,"2023-02-07 05:42:48",2
"Mervin Klocko",dframi@example.net,3.5,"Bechtelar Group",407,"2023-02-07 05:42:48",2
"Jaquelin Schimmel",predovic.delta@example.net,0.5,"Bogan Inc",132,"2023-02-07 05:42:48",4
"Maynard Klein",anabelle46@example.org,0.5,"Lindgren, Fritsch and Schiller",894,"2023-02-07 05:42:48",2
"Lavinia Aufderhar",rice.jeffrey@example.net,1,"Quitzon Ltd",324,"2023-02-07 05:42:48",1
"Charles Daniel",ernestina.corkery@example.com,5,"O'Reilly, Crona and Runolfsson",335,"2023-02-07 05:42:48",2
"Mariela Wunsch",rory.dare@example.net,3,"Abernathy Inc",981,"2023-02-07 05:42:48",1
"Ola Hackett",jlittel@example.net,1.5,"Veum, Jacobi and Abshire",473,"2023-02-07 05:42:48",3
"Haley Waters",carmen63@example.org,2,"Dooley Inc",170,"2023-02-07 05:42:48",1
"Mac Bahringer",krajcik.christina@example.org,0.5,"Schiller PLC",41,"2023-02-07 05:42:48",3
"Lottie Zulauf",ocartwright@example.net,2.5,Adams-Volkman,814,"2023-02-07 05:42:48",4
"Jana Hettinger",johnston.willis@example.net,5,Adams-Volkman,801,"2023-02-07 05:42:48",2
"Mervin Klocko",dframi@example.net,4.5,"Bogan Inc",183,"2023-02-07 05:42:48",1
"Citlalli Johns",adelia96@example.org,2,Adams-Volkman,504,"2023-02-07 05:42:48",4
"Lottie Zulauf",ocartwright@example.net,4.5,"Bode, Cummerata and Keeling",172,"2023-02-07 05:42:48",2
"Peggie Weimann",tromp.brandi@example.org,5,Heathcote-Bogisich,490,"2023-02-07 05:42:48",1
"Ola Hackett",jlittel@example.net,1,Adams-Volkman,957,"2023-02-07 05:42:48",4
"Jana Hettinger",johnston.willis@example.net,2.5,"Quitzon Ltd",242,"2023-02-07 05:42:48",3
"Mylene Larson",anderson.lindsay@example.com,1.5,"Gorczany, Schmidt and Rau",109,"2023-02-07 05:42:48",1
"Maynard Klein",anabelle46@example.org,4,"Kerluke Inc",863,"2023-02-07 05:42:48",1
"Oda Stark",brielle.predovic@example.com,5,"Langosh, Ruecker and Schuppe",311,"2023-02-07 05:42:48",2
"Ola Hackett",jlittel@example.net,0.5,Heathcote-Bogisich,344,"2023-02-07 05:42:48",1
"Reinhold Wiza",cordie.hagenes@example.org,1.5,"Lindgren, Fritsch and Schiller",967,"2023-02-07 05:42:48",3
"Lavinia Aufderhar",rice.jeffrey@example.net,2,Cole-Koch,881,"2023-02-07 05:42:48",4
"Elisabeth Gleason",lionel76@example.org,3.5,"Baumbach, Will and Reynolds",116,"2023-02-07 05:42:48",2
"Jaquelin Schimmel",predovic.delta@example.net,5,"Schiller PLC",708,"2023-02-07 05:42:48",4
"Domenic Gusikowski",mccullough.abbie@example.com,4,"Jakubowski, Lang and Rosenbaum",601,"2023-02-07 05:42:48",3
"Jaquelin Schimmel",predovic.delta@example.net,1,"Willms PLC",994,"2023-02-07 05:42:48",4
"Oda Stark",brielle.predovic@example.com,1,Berge-Swaniawski,315,"2023-02-07 05:42:48",1
"Mervin Klocko",dframi@example.net,2.5,"Willms PLC",274,"2023-02-07 05:42:48",2
"Susana Cummerata",timmothy55@example.com,2,"Bechtelar Group",437,"2023-02-07 05:42:48",3
"Lea Kuphal",kub.arvel@example.com,2.5,Cole-Koch,272,"2023-02-07 05:42:48",2
"Susana Cummerata",timmothy55@example.com,5,Cormier-Brakus,642,"2023-02-07 05:42:48",4
"Maynard Klein",anabelle46@example.org,1.5,Klocko-Mohr,289,"2023-02-07 05:42:48",3
"Trystan Abernathy",mafalda70@example.org,5,Gislason-Erdman,511,"2023-02-07 05:42:48",2
